anchor,dmc,hex,name
1,5200,#FAFAFA,white
2,3865,#F9F7F1,winter white
6,353,#F2A898,peach
8,3824,#FFB496,lt apricot
9,352,#EA8079,lt coral
10,351,#de605e,coral
11,350,#D64542,md coral
13,349,#C72E33,dk coral
13,817,#BF1A23,vy dk coral red
19,321,#c32a3c,red
20,816,#940b24,garnet
22,815,#840720,md garnet
22,902,#6d1a2b,vy dk garnet
23,151,#F3C1CD,vy lt dustry rose
23,963,#ffced7,ul vy lt dusty rose
24,776,#f3949f,md pink
25,3716,#f6a7b4,vy lt dusty rose
26,894,#FF9BB2,vy lt carnation
27,893,#fb7493,lt carnation
28,956,#fb5c84,geranium
29,891,#f32d3e,dk carnation
31,3708,#FFA2B0,lt melon
33,3706,#FF7F8C,md melon
33,892,#F75172,md carnation
35,3705,#F75156,dk melon
35,891,#F32D3E,dk carnation
36,3326,#F3949F,lt rose
38,956,#fb5c84,geranium
39,3832,#E0577E,md raspberry
40,956,#FB5C84,geranium
41,893,#fb7493,lt carnation
42,309,#c9344d,dk rose
42,3831,#B22B54,dk raspberry
43,815,#840720,md garnet
44,815,#840720,md garnet
45,814,#79001c,dk garnet
46,666,#D90028,bright red
47,321,#c32a3c,red
48,963,#ffced7,ul vy lt dusty rose
49,3689,#FDBACE,lt mauve
50,957,#FF9BBA,pale geranium
52,899,#e2697b,md rose
54,956,#fb5c84,geranium
55,603,#ee6195,cranberry
55,604,#F784AA,lt cranberry
57,601,#DE2271,dk cranberry
57,602,#e64281,md cranberry
59,150,#A8024A,ul vy dk dustry rose
59,326,#AF3A4A,vy dk rose
59,3350,#B84263,ul dk dusty rose
59,3831,#B22B54,dk raspberry
59,600,#D30B61,vy dk cranberry
60,3688,#e890ac,md mauve
62,3805,#F34188,cyclamen pink
62,3806,#FD75A9,lt cyclamen pink
62,603,#EE6195,cranberry
63,3804,#E6367C,dk cyclamen pink
63,602,#E64281,md cranberry
65,3350,#b84263,ul dk dusty rose
65,777,#810B28,vy dk Raspberry
66,3688,#E890AC,md mauve
68,3687,#C65375,mauve
69,3803,#a83255,dk mauve
70,3685,#851531,vy dk mauve
72,902,#6d1a2b,vy dk garnet
73,818,#FFCECE,baby pink
73,963,#ffced7,ul vy lt dusty rose
74,3354,#eea1b2,lt dusty rose
74,605,#ffaac5,vy lt cranberry
75,3733,#E78197,dusty rose
75,962,#DD818F,md dusty rose
76,3731,#D96280,vy dk dusty rose
76,3833,#EB6D84,lt raspberry
76,961,#DA627C,dk dusty rose
77,3687,#c65375,mauve
78,917,#a4175d,md plum
79,3687,#c65375,mauve
85,3609,#FFAACF,ul lt plum
86,3608,#E67DAC,vy lt plum
87,3607,#D25292,lt plum
88,718,#B73275,plum
89,917,#A4175D,md plum
90,3836,#B78DA7,lt grape
92,553,#a16089,violet
94,917,#a4175d,md plum
95,153,#E3C6D5,vy lt violet
96,554,#d8aec7,lt violet
97,554,#d8aec7,lt violet
98,3835,#915E81,md grape
98,553,#A16089,violet
99,552,#793666,md violet
100,327,#551346,dk violet
100,3834,#70365B,dk grape
100,3837,#69396C,ul dk lavender
101,550,#4a133f,vy dk violet
102,550,#4A133F,vy dk violet
103,153,#e3c6d5,vy lt violet
108,210,#C09BC0,md lavender
109,209,#A078A5,dk lavender
110,333,#604e87,vy dk blue violet
111,208,#805988,vy dk lavender
112,3837,#69396C,ul dk lavender
117,341,#B8BFDC,lt blue violet
117,3840,#A7B2C5,lt lavender blue
118,156,#A5B0D1,md lt blue violet
118,340,#a4a4c4,md blue violet
119,333,#604E87,vy dk blue violet
120,157,#B7C4E4,vy lt cornflower blue
120,159,#C1C9D9,lt gray blue
120,3747,#CDD2EA,vy lt blue violet
121,794,#8e9dc6,lt cornflower blue
121,809,#82a8c9,delft blue
122,3807,#5B648F,cornflower blue
